"TOA5","250101","CR800","24913","CR800.Std.32.02","CPU:METEOROLOGICA CR800.CR8","51517","M1440"
"TIMESTAMP","RECORD","TempAire_Max","TempAire_TMx","TempAire_Min","TempAire_TMn","HumRel_Max","HumRel_TMx","HumRel_Min","HumRel_TMn","BattV_Max","BattV_TMx","BattV_Min","BattV_TMn","HR_NEMA_Max","Temp_NEMA_Max"
"TS","RN","Deg C","","Deg C","","%","","%","","Volts","","Volts","","%","Deg C"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Max"
"2018-04-02 00:00:00",52,32.58,"2018-04-01 11:20:00",20.13,"2018-04-01 16:03:00",100,"2018-04-01 15:57:00",32.7,"2018-04-01 10:12:00",13.21,"2018-04-01 06:16:00",12.77,"2018-04-01 04:01:00",58.67,37.36
"2018-04-03 00:00:00",53,30.89,"2018-04-02 12:46:00",21.11,"2018-04-02 00:27:00",100,"2018-04-02 14:37:00",58.84,"2018-04-02 11:23:00",13.25,"2018-04-02 06:15:00",12.78,"2018-04-02 05:36:00",59.07,38.51
"2018-04-04 00:00:00",54,30.67,"2018-04-03 11:23:00",21.36,"2018-04-03 01:26:00",99.5,"2018-04-03 22:46:00",60.97,"2018-04-03 11:05:00",13.25,"2018-04-03 06:10:00",12.79,"2018-04-03 04:41:00",55.42,39.57
"2018-04-05 00:00:00",55,30.21,"2018-04-04 10:12:00",21.86,"2018-04-04 18:32:00",100,"2018-04-04 17:49:00",62.25,"2018-04-04 10:15:00",13.24,"2018-04-04 06:17:00",12.78,"2018-04-04 05:01:00",56.81,39.44
"2018-04-06 00:00:00",56,29.07,"2018-04-05 10:31:00",19.12,"2018-04-05 16:04:00",100,"2018-04-05 11:07:00",66.58,"2018-04-05 10:32:00",13.25,"2018-04-05 06:33:00",12.78,"2018-04-05 05:32:00",60.45,36.94
"2018-04-07 00:00:00",57,27.84,"2018-04-06 12:21:00",20.35,"2018-04-06 20:14:00",100,"2018-04-06 13:22:00",70.75,"2018-04-06 12:21:00",13.24,"2018-04-06 06:03:00",12.8,"2018-04-06 05:38:00",57.75,35.29
"2018-04-08 00:00:00",58,30.04,"2018-04-07 11:40:00",20.37,"2018-04-07 05:51:00",100,"2018-04-07 16:44:00",57.95,"2018-04-07 11:41:00",13.26,"2018-04-07 06:13:00",12.81,"2018-04-07 04:41:00",59.97,39.95
"2018-04-09 00:00:00",59,29.86,"2018-04-08 11:29:00",20.76,"2018-04-08 15:39:00",100,"2018-04-08 14:28:00",63.22,"2018-04-08 09:54:00",13.26,"2018-04-08 06:12:00",12.79,"2018-04-08 05:33:00",65.04,38.97
"2018-04-10 00:00:00",60,29.3,"2018-04-09 12:40:00",20.78,"2018-04-09 05:43:00",100,"2018-04-09 00:14:00",70.05,"2018-04-09 12:43:00",13.25,"2018-04-09 06:57:00",12.8,"2018-04-09 05:20:00",58.14,37.65
"2018-04-11 00:00:00",61,30.01,"2018-04-10 10:32:00",20.48,"2018-04-10 23:31:00",100,"2018-04-10 15:04:00",61.67,"2018-04-10 10:34:00",13.25,"2018-04-10 06:10:00",12.8,"2018-04-10 05:13:00",63.77,38.89
"2018-04-12 00:00:00",62,24.79,"2018-04-11 15:57:00",20.55,"2018-04-11 00:41:00",100,"2018-04-11 00:01:00",83.7,"2018-04-11 15:14:00",13.26,"2018-04-11 06:33:00",12.79,"2018-04-11 05:11:00",59.23,30.92
"2018-04-13 00:00:00",63,29.22,"2018-04-12 13:30:00",20.68,"2018-04-12 01:57:00",100,"2018-04-12 15:24:00",64.2,"2018-04-12 13:31:00",13.26,"2018-04-12 05:58:00",12.81,"2018-04-12 05:30:00",66.94,37.75
"2018-04-14 00:00:00",64,28.21,"2018-04-13 11:13:00",21.06,"2018-04-13 18:30:00",100,"2018-04-13 13:50:00",71.8,"2018-04-13 10:27:00",13.25,"2018-04-13 06:09:00",12.8,"2018-04-13 04:06:00",64.09,36.79
"2018-04-15 00:00:00",65,28.9,"2018-04-14 11:41:00",20.94,"2018-04-14 04:43:00",100,"2018-04-14 14:16:00",70.85,"2018-04-14 09:26:00",13.26,"2018-04-14 06:14:00",12.81,"2018-04-14 05:25:00",68.62,38.59
"2018-04-16 00:00:00",66,29.35,"2018-04-15 14:52:00",20.85,"2018-04-15 02:34:00",100,"2018-04-15 02:25:00",72.08,"2018-04-15 10:40:00",13.25,"2018-04-15 05:54:00",12.8,"2018-04-15 04:38:00",65.89,38.66
"2018-04-17 00:00:00",67,30.32,"2018-04-16 11:25:00",21.4,"2018-04-16 02:12:00",99,"2018-04-16 22:29:00",54.54,"2018-04-16 07:31:00",13.25,"2018-04-16 06:14:00",12.79,"2018-04-16 05:28:00",62.44,37.89
"2018-04-18 00:00:00",68,30.24,"2018-04-17 11:37:00",21.43,"2018-04-17 23:48:00",100,"2018-04-17 19:58:00",64.63,"2018-04-17 09:19:00",13.24,"2018-04-17 06:16:00",12.79,"2018-04-17 04:53:00",65.44,39.47
"2018-04-19 00:00:00",69,30.44,"2018-04-18 10:59:00",21.29,"2018-04-18 23:13:00",100,"2018-04-18 14:32:00",67.86,"2018-04-18 11:01:00",13.24,"2018-04-18 06:33:00",12.71,"2018-04-18 14:15:00",65.91,38.05
"2018-04-20 00:00:00",70,30.86,"2018-04-19 12:03:00",20.74,"2018-04-19 02:07:00",100,"2018-04-19 00:47:00",64.13,"2018-04-19 11:30:00",13.25,"2018-04-19 06:07:00",12.78,"2018-04-19 04:36:00",70.78,39.1
"2018-04-21 00:00:00",71,29.51,"2018-04-20 09:58:00",21.7,"2018-04-20 22:18:00",100,"2018-04-20 14:25:00",61.95,"2018-04-20 05:08:00",13.22,"2018-04-20 06:09:00",12.79,"2018-04-20 14:13:00",70.18,38.44
"2018-04-22 00:00:00",72,30.78,"2018-04-21 11:21:00",20.4,"2018-04-21 14:11:00",100,"2018-04-21 14:13:00",65.31,"2018-04-21 11:22:00",13.25,"2018-04-21 06:08:00",12.78,"2018-04-21 14:10:00",74.93,38.29
"2018-04-23 00:00:00",73,29.26,"2018-04-22 10:47:00",20.92,"2018-04-22 19:13:00",100,"2018-04-22 15:40:00",74.06,"2018-04-22 10:19:00",13.24,"2018-04-22 06:16:00",12.79,"2018-04-22 04:34:00",68.64,37.91
