ID;Segmento;MontoPagar;Alquiler;TamañoHogar;TipoViv;IngresoBruto;IngresoNeto;CantVeh;CantMotos
175;394;120000;0;2;casa independiente;6 608 255,30;6 525 285,20;#N/D;#N/D
176;409;200000;0;3;en fila o contigua;1 956 149,10;1 829 233,10;1;#N/D
177;417;150000;0;1;casa independiente;65 000,00;65 000,00;#N/D;#N/D
178;434;170000;1;4;en fila o contigua;1 793 195,80;1 717 461,80;#N/D;#N/D
179;440;60000;0;4;en fila o contigua;361 000,00;361 000,00;#N/D;#N/D
180;460;70000;0;3;casa independiente;464 750,00;464 750,00;#N/D;#N/D
181;465;150000;0;4;casa independiente;422 500,00;386 737,00;#N/D;#N/D
182;472;220000;1;1;en fila o contigua;1 193 833,30;1 110 386,30;1;#N/D
183;502;110000;1;1;en fila o contigua;520 000,00;472 316,00;#N/D;#N/D
184;512;300000;0;5;casa independiente;7 631 216,50;7 262 175,40;4;#N/D
185;527;32000;0;4;en fila o contigua;745 114,99;699 441,67;#N/D;#N/D
186;527;32000;1;4;en fila o contigua;745 114,99;699 441,67;#N/D;#N/D
187;546;150000;1;4;casa independiente;1 102 183,30;1 030 895,80;#N/D;#N/D
188;1501;350000;0;3;casa independiente;1 408 333,30;1 256 883,30;#N/D;#N/D
189;1506;75000;1;5;en cuartería;190 125,00;174 031,65;#N/D;#N/D
190;1509;600000;0;3;en fila o contigua;1 865 149,10;1 738 233,10;1;#N/D
191;1512;350000;0;2;en fila o contigua;955 124,00;883 598,00;2;#N/D
192;1515;300000;0;4;en fila o contigua;1 040 806,00;975 166,59;#N/D;1
193;1522;350000;0;4;en fila o contigua;3 032 450,70;2 894 643,30;2;#N/D
194;1547;125000;1;2;en fila o contigua;1 045 200,00;959 845,64;#N/D;#N/D
195;1554;150000;0;2;en fila o contigua;597 660,87;568 440,91;#N/D;#N/D
196;1558;140000;1;3;en fila o contigua;260 000,00;260 000,00;#N/D;#N/D
197;1567;250000;0;2;en fila o contigua;533 000,00;533 000,00;#N/D;#N/D
198;1578;300000;0;4;casa independiente;1 683 500,00;1 518 823,80;1;1
199;1579;1101240;0;3;casa en condominio;4 251 860,00;4 251 860,00;2;#N/D
200;1579;770868;1;3;casa en condominio;4 251 860,00;4 251 860,00;2;#N/D
201;1580;99999999;0;3;casa en condominio;2 313 886,40;2 234 579,10;2;#N/D
202;1580;330372;1;3;casa en condominio;2 313 886,40;2 234 579,10;2;#N/D
203;1602;175000;0;3;casa independiente;1 391 375,40;1 291 538,20;#N/D;#N/D
204;1616;500000;0;12;en fila o contigua;3 304 975,50;3 074 764,50;#N/D;#N/D
205;1621;250000;0;4;en fila o contigua;3 241 232,20;2 965 806,80;1;#N/D
206;1634;240000;0;3;en fila o contigua;238 333,33;238 333,33;#N/D;#N/D
207;1635;70000;0;1;en fila o contigua;40 000,00;40 000,00;#N/D;#N/D
208;1649;100000;0;3;en fila o contigua;647 291,67;620 469,42;#N/D;#N/D
209;1666;150000;0;5;casa independiente;1 367 166,70;1 313 522,20;1;#N/D
210;1676;150000;0;5;en fila o contigua;1 857 079,60;1 829 487,50;#N/D;2
211;1682;200000;0;2;casa independiente;3 153 853,00;2 934 512,60;1;#N/D
212;1690;600000;0;5;casa independiente;2 275 000,00;2 069 905,50;#N/D;#N/D
213;1697;150000;1;5;en fila o contigua;734 000,00;734 000,00;#N/D;#N/D
214;1708;110000;0;6;casa independiente;610 516,01;610 516,01;#N/D;#N/D
215;1709;99999999;0;4;casa independiente;3 174 478,00;2 684 326,70;1;#N/D
216;1716;150000;0;1;en edificio;174 800,00;174 800,00;#N/D;#N/D
217;1725;247779;1;2;en fila o contigua;3 976 653,90;3 850 414,80;#N/D;#N/D
218;1731;150000;0;4;casa independiente;589 186,39;559 000,00;1;1
219;1735;250000;1;5;casa independiente;2 935 833,30;2 742 659,80;#N/D;#N/D
220;1739;250000;0;2;en fila o contigua;2 921 750,00;2 516 949,50;2;#N/D
221;1749;500000;0;2;casa en condominio;761 879,46;761 879,46;1;#N/D
222;1752;300000;0;3;casa independiente;2 899 850,70;2 773 321,70;2;1
223;1762;300000;0;6;casa independiente;2 291 791,70;2 072 553,80;2;#N/D
224;1775;120000;0;5;en fila o contigua;725 933,33;672 527,25;1;#N/D
225;1778;500000;0;1;casa en condominio;5 187 000,00;4 258 345,00;1;#N/D
